"행정구역시도코드","가구총소득구간코드","피곤함정도코드","삶만족도코드","(주행동시간량_921) 출근","(주행동시간량_922) 퇴근"
11,,2,1,0,0
11,,2,1,0,0
11,,2,1,0,0
11,,2,1,0,0
11,,2,1,0,0
11,,2,1,0,0
11,,2,1,0,0
11,,2,1,0,30
11,,2,1,0,30
11,,2,1,20,0
11,,2,1,20,10
11,,2,1,20,20
11,,2,1,20,30
11,,2,1,30,0
11,,2,1,30,0
11,,2,1,30,30
11,,2,1,30,30
11,,2,1,40,30
11,,2,1,40,30
11,,2,1,40,30
11,,2,1,40,30
11,,2,1,40,70
11,,2,1,50,40
11,,2,1,50,80
11,,2,1,60,0
11,,2,1,60,20
11,,2,1,60,20
11,,2,1,60,60
11,,2,1,60,80
11,,2,1,60,90
11,,2,1,80,0
11,,2,1,80,60
11,,2,1,90,60
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
11,,2,2,0,0
